url,review
http://www.imdb.com/title/tt0375560,scotty  grant cramer  who would go on to star in the great b movie  killer klowns from outer space   agrees to help three middle aged guys learn how to  dialog  the ladies in this bad  80 s comedy  not bad as in  80 s lingo  which meant good  bad as in bad  with no likable characters  including  but not limited to  a kid who s the freakiest looking guy since  friday the 13th part 2   a girl who leads men on and then goes into hissy fits when they want to touch her  and the token fat slob  because after all what would an  80 s sex comedy be without a fat slob   well this one has two  this movie is pretty much the bottom of the barrel of  80 s sex comedies  and then came the sequel thus deepening said proverbial barrel  br    br   my grade d   br    br   eye candy  too numerous to count  you even see the freaky looking kid imagined with boobs at on point  think  bachlor party  but not as funny  and very disturbing  br    br   where i saw it  comcast moviepass
http://www.imdb.com/title/tt0101327,this movie is complete crap  avoid this waste of celluloid at all costs  it is rambling and incoherent  i pride myself on plumbing the depths of 70 s sleaze cinema from everything from salo to salon kitty  i like being shocked  but i need a coherent story  however if watching horses mate gets you off this film is for you  the saddest part was that lame werewolf suit with the functional wang  i mean its just plain hard to sit through  not to mention the acting is terrible and the soundtrack is dubbed badly  please  i know the cover is interesting  what looks like a gorillas hands reaching for a woman s bare ass but don t waste your time or money as you won t get either back 
http://www.imdb.com/title/tt0949379,i honestly had somewhat high expectations when i first began to watch this movie  but it turned out to be probably one of the most boring films i have ever seen  br    br   first of all  the pace is incredibly slow  so it seems much longer than it is  and it s not short  i m sure when jane austen wrote the book  she made it several pages long  filled it with description  and didn t intend for people to read in in one day  or it might drag and lose it s appeal  which  emma  most certainly did  now  sense and sensibility  had this flaw of a slow pace  but at least it had lively lines to make up for it  as well as some good performances  br    br   that brings me to flaw  2  which is of course  the acting  while i don t happen to care for basically anybody involved in this film  i am sure they are capable of good work  but i didn t see much of it in this movie  it was like people were trying too hard to be witty  too hard to be  upper class   too hard to be british  well  some of them   so they all just came off as a bunch of actors and not as people  br    br    3  the cast  as i said  seemed only like actors  and not actually like the people they were playing  maybe that s a good thing  because the people they played really weren t all that nice  why did everybody like emma  for example  sure  she was nice to the rich  handsome people in front of them  but she was an awful gossip behind their backs  if her friends were  ugly   then she didn t even bother to go behind their backs  so  why is this girl so great  why do people have to tell stories   just to make her laugh   of course the snob couldn t even do that right  i have enough problems with gwyneth paltrow as gwyneth paltrow  and her  emma  did not exactly change my opinion  br    br   well  it s easy to see that i did not care for this one  i m sure it s a lovely book and all  but some books are really not meant to be made for the big screen  and  emma  is one of them 
http://www.imdb.com/title/tt0845463,your first clue that this is a cheesy movie is that it was shot on video  not film  the story is convoluted  and the production is amazingly sloppy  note  for example  that when the title couple are on a plane ostensibly landing in vermont  where they ve gone to celebrate their relationship in a civil union ceremony  the plane is shown coming into an airport surrounded by palm trees  their ceremony   in vermont   takes place in a garden of tropical plants  including palms  which wouldn t last five minutes in the new england climate  on yet another airplane trip  the establishing shot depicts a fedex cargo plane taking off  presumably they could only afford to travel in steerage  as for the plot  this movie expects you to believe that victor  the devoutly christian brother of arthur  is kicked out of his church when the congregation learns that his brother is gay  not only that  but the pastor eventually sets victor up with a hit man to have ben and arthur killed  to purge their souls of sin   apparently no one in this church has ever heard of the ten commandments  were it not for jamie brett gabel  who is surprisingly effective as arthur  this movie would have no redeeming qualities at all 
http://www.imdb.com/title/tt0463392,alright  i got passed the horrible acting  i got passed the fact that lil kim was blasting some cannons and her arms or hands weren t moving  i got passed the weaves  i got passed the colored contacts  br    br   this is what killed it for me  in the scene where the four roses were sitting at the table arguing  lisa raye and monica calhoun stand up and  and then lil kim gets up to break up any hostilities by saying   whoa  whoa  whoa  hold up  let s chill out here for a hot second   i am a fan of the western movie genre  and i never heard anyone talk slang like this in any of clint eastwood s movies  br    br   if anyone thinks this movie deserves over a 1 rating  please tell me another movie that s worse than gang of roses  br    br   i m through 
http://www.imdb.com/title/tt0372873,this is one seriously disturbed movie  even though the boys deserved some of what they got     the sadistic gruesome executions were  slightly  over the top  the only character showing some conscience early in the hunt was killed off before he could offer some help to the sad plot  br    br   at the beginning of the movie  there looked to be some promise of a mediocre affair  but this was just a ploy to lull the viewers into a false sense of security  before the joy of what was to come   br    br   the only thing that could have saved the movie for me was if jack nicholson had jumped out of the bushes and yelled   and  where is the batman    kim basinger could have screamed   br    br   now that would have been cool 
http://www.imdb.com/title/tt0460912,because it is  that s why  this is the same jealous daughter kills people flick we ve seen a billion times  rosanna arquette makes anything worth watching  and mandy schaffer s brief nude scene  after teasing via scantily clad attire throughout the film  at the end almost make this trite blarney worthwhile  but not quite  br    br     out of     
http://www.imdb.com/title/tt0199650,i wanted to love this movie  how could i not love it  cary grant  jayne mansfield  stanley donen  all icons in their own way  however  the train wreck that was suzy parker ruined the entire experience for me  her acting was so appalling that i sat there with my jaw hanging open  not believing my eyes or ears  i could barely make it through one viewing  that s how hideous she is in this  br    br   cary  gorgeous and in fine dramatic form  jayne  adorable  endearing  and obviously having a ball  the supporting cast does alright  and the city of san francisco is captured in all its stunning  retro elegance  br    br   then you see suzy parker attempting to speak her lines with a woodenness  a deadness  a cluelessness that simply defies belief  who told this creature she could act   oy vey  people 
http://www.imdb.com/title/tt0190834,a sexually obsessed chef leads a duplicitous life  one as a  happily  married man with a ten year oldish child  the other as a sex fiend  the bulk of the documentary like film follows him for five consecutive days and is told in flashback with nastassja kinski as a clinical sex therapist  listening to his story and intelligently probing him  nastassja s role is very restrictive and she is the only principal adult character who does not take off her clothes  if she had  i would have rated this movie a big fat  f   as it is  it rates an f   implying that it is still a failure unless one likes to be bored  it is probably a lot more interesting to spend ninety minutes cleaning out the garage   diary of a sex addict  falls into the category of films that once one has seen it  one wishes that one hadn t 
http://www.imdb.com/title/tt0995060,this infamous ending to koen wauters  career came to my attention through the  night of bad taste   judging by the comment index i wasn t the first and i am not to be the last person in western europe to learn that this musician  undoubtedly one of the best on our contemporary pop scene  even the dutch agree on that  tried to be an actor  whether he should have made the attempt or not cannot be judged   br    br   in  intensive care  he s quite likable  but he seems to be uncomfortable with the flick in which he is participating  no one can blame him  it deserves its ranking in verheyen s hall of fame by all means   standards  the story of the murderous maniac who is supposed to have died in an accident but is alive and wrathful has been told dozens of times before  and even without original twists a director can deliver a more than mediocre story through innovative settings and cinematography  br    br    ic contents itself with a hospital wing and a couple of middle class houses  the pace is dull  the tension looses the last bit of its credibility to the musical score  for every appearance of the murderer is accompagnied by a tedious menacing melody  followed by orchestral outbursts during the murders  which or largely suggested and in any case as bloodless as a small budget can make them  the sex scene is gratuitous but not in the least appealing  the couple from amsterdamned could have made it work  though  while dealing with the couple subject   the whole subplot between wauters and the girl does not work  a more effective emotional connection could have been established on screen if they had just been fellow victims to be  who loosen their nerves halfway through physical intercourse  i will not even grant the other cast members the dignity of a mentioning  for they should all have been chopped up into tiny greasy pieces  as a matter of fact  most of them do  the ones i recall where obvious for the genre   a pretty nurse and two cops   br    br   hence  in a slasher  the cavalry only comes in time to need rescue itself  the  anti   hero has to take out the villain  mostly through clever thinking  for former red berets don t often get parts in these films  they might overcome the illusion of invincibility that surrounds the killer  translated to the events  wauters kills the doctor and saves the dame in distress   br    br   no people  i am not finished  this is not how the story goes  wauters makes his heroic attempt but gets beaten up with a fury that comes close to  a clockwork orange   so it is up to the girl to pick up the driller killer act and pierce through the doctors brains  though this method ensures the killer s death more than the usual rounds of 9mm bullets  the doctor survives in order to enable ic to reach the 80 min mark  br    br   i should have made my point by now  intensive care is a bad movie  which can only be enjoyed by bad taste lovers  who can verify verheyen s catchy statements and make some up for themselves and that way try to sit through it  for example  the  unintended  parody value of the doctor s clown mask  halloween  and the final confrontation in the park  the chase at the end of friday the 13th   br    br   however  let me conclude by giving an overview by a few measly elements which give ic a little credit  george kennedy is not one of them  all he has to do is endure a horrible monologue by a fellow doctor french actor and look horrified when they let him go down in flames in order to tag his big name on a stand in  he could have played his naked gun part again  to end up as beef  but with a longer screen time  the finale may be one of them  i had never seen a maniac being brought down by launching fireworks into his guts in order to crush him against a flexible fence  it is good for a laugh  br    br   name one good truly point about intensive care     koen wauters learned his lesson and devoted himself entirely to his musical career  it makes me wonder how many editions of the paris dakar race he has to abort before coming to his senses  br    br   
